,Latitude,Longitude,Humidity1_0,Pressure1_0,Temp1_0,WindDirSin1_0,WindDirCos1_0,WindSpeed1_0,DayOfYearSin1_0,DayOfYearCos1_0,Thunderstorm_1_0,Thunderstorm_prox_1_0,Drizzle_1_0,Rain_1_0,Freezing_rain_1_0,Rain_prox_1_0,Snow_1_0,Sleet_1_0,Rain_snow_1_0,Atmopsphere1_1_0,Atmosphere2_1_0,Squall_1_0,Tornado_1_0,Clouds_1_0,Humidity1_1,Pressure1_1,Temp1_1,WindDirSin1_1,WindDirCos1_1,WindSpeed1_1,DayOfYearSin1_1,DayOfYearCos1_1,Thunderstorm_1_1,Thunderstorm_prox_1_1,Drizzle_1_1,Rain_1_1,Freezing_rain_1_1,Rain_prox_1_1,Snow_1_1,Sleet_1_1,Rain_snow_1_1,Atmopsphere1_1_1,Atmosphere2_1_1,Squall_1_1,Tornado_1_1,Clouds_1_1,Humidity2_0,Pressure2_0,Temp2_0,WindDirSin2_0,WindDirCos2_0,WindSpeed2_0,DayOfYearSin2_0,DayOfYearCos2_0,Thunderstorm_2_0,Thunderstorm_prox_2_0,Drizzle_2_0,Rain_2_0,Freezing_rain_2_0,Rain_prox_2_0,Snow_2_0,Sleet_2_0,Rain_snow_2_0,Atmopsphere1_2_0,Atmosphere2_2_0,Squall_2_0,Tornado_2_0,Clouds_2_0,Humidity2_1,Pressure2_1,Temp2_1,WindDirSin2_1,WindDirCos2_1,WindSpeed2_1,DayOfYearSin2_1,DayOfYearCos2_1,Thunderstorm_2_1,Thunderstorm_prox_2_1,Drizzle_2_1,Rain_2_1,Freezing_rain_2_1,Rain_prox_2_1,Snow_2_1,Sleet_2_1,Rain_snow_2_1,Atmopsphere1_2_1,Atmosphere2_2_1,Squall_2_1,Tornado_2_1,Clouds_2_1,Humidity3_0,Pressure3_0,Temp3_0,WindDirSin3_0,WindDirCos3_0,WindSpeed3_0,DayOfYearSin3_0,DayOfYearCos3_0,Thunderstorm_3_0,Thunderstorm_prox_3_0,Drizzle_3_0,Rain_3_0,Freezing_rain_3_0,Rain_prox_3_0,Snow_3_0,Sleet_3_0,Rain_snow_3_0,Atmopsphere1_3_0,Atmosphere2_3_0,Squall_3_0,Tornado_3_0,Clouds_3_0,Humidity3_1,Pressure3_1,Temp3_1,WindDirSin3_1,WindDirCos3_1,WindSpeed3_1,DayOfYearSin3_1,DayOfYearCos3_1,Thunderstorm_3_1,Thunderstorm_prox_3_1,Drizzle_3_1,Rain_3_1,Freezing_rain_3_1,Rain_prox_3_1,Snow_3_1,Sleet_3_1,Rain_snow_3_1,Atmopsphere1_3_1,Atmosphere2_3_1,Squall_3_1,Tornado_3_1,Clouds_3_1,Temp5
0,-123.119339,49.24966,82.56999126342193,1018.6871560742577,284.00859192763346,0.3512903734300405,-0.9362665611541313,2.34374914418732,-0.9997685019798909,0.021516097436222233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,78.63083260528516,1018.6871560742577,284.56975438138613,0.6309804086541738,0.24841620934252967,0.1953124286822767,-0.9997685019798909,0.021516097436222233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,3.3333333333333335,85.33333333333333,976.18203372236,284.59736879741666,-0.43803039866355686,-0.5324468329933555,0.0,-0.9992500112396835,0.03872228089217399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,69.41666666666667,1004.9478593457096,287.693010847,0.18596905378395023,-0.14039379930789453,0.0,-0.9992500112396835,0.03872228089217399,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,75.83333333333333,1012.8696483642741,286.37833333333333,-0.03521757144714376,0.15130299125905253,1.0,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.41666666666667,1012.9217890185644,284.67791666666665,0.2555923618015991,-0.7711074285397437,0.08333333333333333,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,283.7572916666667
1,-123.119339,49.24966,85.33333333333333,976.18203372236,284.59736879741666,-0.43803039866355686,-0.5324468329933555,0.0,-0.9992500112396835,0.03872228089217399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,69.41666666666667,1004.9478593457096,287.693010847,0.18596905378395023,-0.14039379930789453,0.0,-0.9992500112396835,0.03872228089217399,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,75.83333333333333,1012.8696483642741,286.37833333333333,-0.03521757144714376,0.15130299125905253,1.0,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.41666666666667,1012.9217890185644,284.67791666666665,0.2555923618015991,-0.7711074285397437,0.08333333333333333,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,67.92833187723699,1018.4581040495051,283.49916666666667,0.025083751003907594,0.66122845597462,0.8333333333333334,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,41.26166521057032,1020.0623853580859,285.2475,-0.07983083640620495,0.5160972483632451,0.4166666666666667,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,284.8258333333333
2,-123.119339,49.24966,75.83333333333333,1012.8696483642741,286.37833333333333,-0.03521757144714376,0.15130299125905253,1.0,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.41666666666667,1012.9217890185644,284.67791666666665,0.2555923618015991,-0.7711074285397437,0.08333333333333333,-0.9984354211555643,0.05591699010060302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,67.92833187723699,1018.4581040495051,283.49916666666667,0.025083751003907594,0.66122845597462,0.8333333333333334,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,41.26166521057032,1020.0623853580859,285.2475,-0.07983083640620495,0.5160972483632451,0.4166666666666667,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,45.416666666666664,1018.3798930680696,282.91125,0.056223192956935834,0.5738196434067092,0.5833333333333334,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,47.928331877236985,1016.8696483642741,284.60333333333335,-0.2639434571656225,0.49175229232046425,0.25,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285.59583333333336
3,-123.119339,49.24966,67.92833187723699,1018.4581040495051,283.49916666666667,0.025083751003907594,0.66122845597462,0.8333333333333334,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,41.26166521057032,1020.0623853580859,285.2475,-0.07983083640620495,0.5160972483632451,0.4166666666666667,-0.9973249731081556,0.07309512989807687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,45.416666666666664,1018.3798930680696,282.91125,0.056223192956935834,0.5738196434067092,0.5833333333333334,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,47.928331877236985,1016.8696483642741,284.60333333333335,-0.2639434571656225,0.49175229232046425,0.25,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.833333333333336,1015.8123853580859,284.0308333333333,0.2156153775830102,0.6729587861332779,0.3333333333333333,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,44.5,1017.0572630061881,285.62083333333334,-0.14132177216525596,0.4903396525802136,0.4166666666666667,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285.9433333333333
4,-123.119339,49.24966,45.416666666666664,1018.3798930680696,282.91125,0.056223192956935834,0.5738196434067092,0.5833333333333334,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,47.928331877236985,1016.8696483642741,284.60333333333335,-0.2639434571656225,0.49175229232046425,0.25,-0.9959189961471792,0.0902516100310407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.833333333333336,1015.8123853580859,284.0308333333333,0.2156153775830102,0.6729587861332779,0.3333333333333333,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,44.5,1017.0572630061881,285.62083333333334,-0.14132177216525596,0.4903396525802136,0.4166666666666667,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.725831149188814,1017.43203372236,284.9708333333333,0.20260313622894416,0.9376234385309741,0.75,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.39249781585548,1020.0414373828385,286.22083333333336,-0.2652786245655941,0.28856709151101934,0.0,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,285.95729166666666
5,-123.119339,49.24966,41.833333333333336,1015.8123853580859,284.0308333333333,0.2156153775830102,0.6729587861332779,0.3333333333333333,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,44.5,1017.0572630061881,285.62083333333334,-0.14132177216525596,0.4903396525802136,0.4166666666666667,-0.9942179068939521,0.10738134666416217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.725831149188814,1017.43203372236,284.9708333333333,0.20260313622894416,0.9376234385309741,0.75,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.39249781585548,1020.0414373828385,286.22083333333336,-0.2652786245655941,0.28856709151101934,0.0,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,57.29749927195183,1017.1559633952147,285.4008333333333,0.20107877745992947,0.931075968553541,0.5,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,71.85666375447397,1015.4581040495051,286.48583333333335,-0.341657867818358,0.21160463991556366,0.08333333333333333,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,284.9139583333333
6,-123.119339,49.24966,49.725831149188814,1017.43203372236,284.9708333333333,0.20260313622894416,0.9376234385309741,0.75,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.39249781585548,1020.0414373828385,286.22083333333336,-0.2652786245655941,0.28856709151101934,0.0,-0.9922222094179324,0.12447926388678869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,57.29749927195183,1017.1559633952147,285.4008333333333,0.20107877745992947,0.931075968553541,0.5,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,71.85666375447397,1015.4581040495051,286.48583333333335,-0.341657867818358,0.21160463991556366,0.08333333333333333,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.75,1018.6871560742577,285.41875,0.13487436539440464,0.9759350707893681,0.08333333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.0,1013.9790520247526,286.49583333333334,-0.33216298081217627,0.25258971785487355,1.0833333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,283.82875
7,-123.119339,49.24966,57.29749927195183,1017.1559633952147,285.4008333333333,0.20107877745992947,0.931075968553541,0.5,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,71.85666375447397,1015.4581040495051,286.48583333333335,-0.341657867818358,0.21160463991556366,0.08333333333333333,-0.989932495087353,0.141540295217043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.75,1018.6871560742577,285.41875,0.13487436539440464,0.9759350707893681,0.08333333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.0,1013.9790520247526,286.49583333333334,-0.33216298081217627,0.25258971785487355,1.0833333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,71.25,1016.2290520247526,285.4675,0.4148690432912828,0.5374151423551412,0.5833333333333334,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,81.63083260528516,1018.4217890185644,284.36041666666665,0.5221214101173282,-0.2327077930330465,2.6666666666666665,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,283.49375
8,-123.119339,49.24966,56.75,1018.6871560742577,285.41875,0.13487436539440464,0.9759350707893681,0.08333333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,67.0,1013.9790520247526,286.49583333333334,-0.33216298081217627,0.25258971785487355,1.0833333333333333,-0.9873494423939864,0.15855938510313475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,71.25,1016.2290520247526,285.4675,0.4148690432912828,0.5374151423551412,0.5833333333333334,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,81.63083260528516,1018.4217890185644,284.36041666666665,0.5221214101173282,-0.2327077930330465,2.6666666666666665,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,80.13083260528516,1015.281192679043,284.2679166666667,0.2712745332104455,-0.25641566387812753,1.3333333333333333,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,74.17833187723699,1017.0675077099836,283.38958333333335,0.04282096063682696,-0.5827752160153631,0.6666666666666666,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,283.8358333333333
9,-123.119339,49.24966,71.25,1016.2290520247526,285.4675,0.4148690432912828,0.5374151423551412,0.5833333333333334,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,81.63083260528516,1018.4217890185644,284.36041666666665,0.5221214101173282,-0.2327077930330465,2.6666666666666665,-0.9844738167520923,0.17553149042142777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,80.13083260528516,1015.281192679043,284.2679166666667,0.2712745332104455,-0.25641566387812753,1.3333333333333333,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,74.17833187723699,1017.0675077099836,283.38958333333335,0.04282096063682696,-0.5827752160153631,0.6666666666666666,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,91.5,1018.6871560742577,283.51916666666665,-0.14717037025991483,0.6105689913614898,0.0,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0,0.5833333333333334,87.79749927195182,1016.4269113704622,283.46833333333336,0.2940075396698412,-0.06342324719573789,0.5,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,285.0729166666667
10,-123.119339,49.24966,80.13083260528516,1015.281192679043,284.2679166666667,0.2712745332104455,-0.25641566387812753,1.3333333333333333,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,74.17833187723699,1017.0675077099836,283.38958333333335,0.04282096063682696,-0.5827752160153631,0.6666666666666666,-0.9813064702716093,0.19245158197082995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,91.5,1018.6871560742577,283.51916666666665,-0.14717037025991483,0.6105689913614898,0.0,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0,0.5833333333333334,87.79749927195182,1016.4269113704622,283.46833333333336,0.2940075396698412,-0.06342324719573789,0.5,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,82.0,999.2081040495051,284.2625,0.10642155676999328,-0.5370209184082476,1.0,-0.9741004551724206,0.22611568550828803,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.25,91.13083260528516,1017.8798930680696,283.4091666666667,0.909730400423808,0.018787773220676096,2.25,-0.9741004551724206,0.22611568550828803,0.0,0.0,0.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,286.48041666666666
11,-123.119339,49.24966,91.5,1018.6871560742577,283.51916666666665,-0.14717037025991483,0.6105689913614898,0.0,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0,0.5833333333333334,87.79749927195182,1016.4269113704622,283.46833333333336,0.2940075396698412,-0.06342324719573789,0.5,-0.9778483415056569,0.209314645963048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,82.0,999.2081040495051,284.2625,0.10642155676999328,-0.5370209184082476,1.0,-0.9741004551724206,0.22611568550828803,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.25,91.13083260528516,1017.8798930680696,283.4091666666667,0.909730400423808,0.018787773220676096,2.25,-0.9741004551724206,0.22611568550828803,0.0,0.0,0.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,93.0,1018.1298930680696,284.57416666666666,0.9525849474443003,0.20766448298099152,2.0,-0.9700639218515072,0.24284972209593494,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0.16666666666666666,92.58333333333333,1018.2132264014028,285.57166666666666,0.8351822763771739,0.19739308019495497,1.8333333333333333,-0.9700639218515072,0.24284972209593494,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,285.025
